pH Level,Fat Content (%),Density (kg/m³),Temperature (°C),Quality
6.56,5.3,1034,5.3,Good
7.43,4.6,1031,6.7,Good
7.1,3.7,1035,6.9,Good
6.9,5.8,1038,9.9,Good
6.23,5.2,1027,6.6,Poor
6.23,3.2,1036,8.9,Poor
6.09,6.1,1024,12.2,Poor
7.3,5.8,1035,11.2,Poor
6.9,6.3,1025,7.8,Good
7.06,5.4,1027,13.2,Poor
6.03,5.0,1037,9.3,Poor
7.45,4.2,1031,9.0,Good
7.25,6.2,1034,2.4,Good
6.32,6.0,1028,14.8,Poor
6.27,2.7,1032,3.6,Poor
6.28,2.6,1034,5.0,Poor
6.46,4.0,1029,2.7,Poor
6.79,5.7,1035,10.3,Poor
6.65,6.4,1026,4.9,Good
6.44,3.1,1036,4.3,Poor
6.92,4.9,1026,3.2,Good
6.21,4.0,1033,3.3,Poor
6.44,6.4,1034,9.6,Poor
6.55,5.9,1026,10.9,Poor
6.68,5.9,1028,7.2,Good
7.18,4.4,1038,8.2,Good
6.3,4.2,1035,10.9,Poor
6.77,3.6,1027,2.2,Good
6.89,2.7,1037,6.2,Poor
6.07,6.0,1037,14.7,Poor
6.91,5.8,1039,9.5,Good
6.26,6.5,1026,5.3,Poor
6.1,6.5,1022,8.8,Poor
7.42,4.7,1037,6.5,Good
7.45,5.6,1029,8.9,Good
7.21,6.3,1026,3.6,Good
6.46,5.9,1036,3.7,Poor
6.15,3.5,1033,3.9,Poor
7.03,4.3,1022,14.2,Poor
6.66,3.0,1031,11.5,Poor
6.18,6.3,1032,4.1,Poor
6.74,4.9,1021,4.4,Poor
6.05,3.4,1022,11.5,Poor
7.36,5.2,1024,4.0,Poor
6.39,5.0,1030,5.0,Poor
6.99,3.9,1027,14.5,Poor
6.47,3.0,1031,5.3,Poor
6.78,5.2,1026,10.6,Poor
6.82,4.6,1034,14.7,Poor
6.28,5.6,1036,6.9,Poor
7.45,4.6,1023,2.2,Poor
7.16,5.9,1032,5.2,Good
7.41,4.7,1037,12.8,Poor
7.34,4.7,1020,13.2,Poor
6.9,6.0,1035,12.0,Poor
7.38,4.1,1032,3.5,Good
6.13,3.0,1029,12.3,Poor
6.29,2.6,1031,13.9,Poor
6.07,5.5,1021,9.8,Poor
6.49,5.0,1022,14.2,Poor
6.58,5.3,1029,12.7,Poor
6.41,3.4,1021,10.7,Poor
7.24,3.0,1032,9.5,Good
6.54,2.6,1032,6.5,Poor
6.42,3.9,1037,4.1,Poor
6.81,4.9,1022,9.9,Poor
6.21,4.1,1026,6.1,Poor
7.2,4.2,1033,13.3,Poor
6.11,6.1,1039,14.9,Poor
7.48,3.9,1036,11.8,Poor
7.16,4.6,1031,3.2,Good
6.3,5.6,1035,5.8,Poor
6.01,4.1,1031,3.4,Poor
7.22,5.0,1034,10.5,Poor
7.06,5.9,1029,11.9,Poor
7.09,6.3,1026,14.0,Poor
7.16,3.1,1039,7.7,Good
6.11,6.2,1024,13.7,Poor
6.54,4.5,1020,13.4,Poor
6.17,3.5,1036,6.1,Poor
7.29,4.3,1022,13.3,Poor
6.93,6.4,1032,6.9,Good
6.5,4.5,1033,5.9,Good
6.1,3.8,1037,10.4,Poor
6.47,5.0,1023,6.3,Poor
6.49,3.5,1037,10.2,Poor
7.09,2.8,1024,9.9,Poor
6.96,3.0,1035,9.3,Good
7.33,3.0,1020,6.9,Poor
6.71,3.1,1033,9.1,Good
6.18,3.1,1034,9.8,Poor
7.07,5.1,1028,9.1,Good
7.14,3.2,1034,7.8,Good
6.84,3.9,1036,2.2,Good
7.16,6.1,1023,9.6,Poor
6.74,4.4,1031,4.2,Good
6.78,5.2,1024,10.4,Poor
6.64,3.2,1024,11.9,Poor
6.04,3.3,1030,8.5,Poor
6.16,2.7,1025,9.1,Poor
6.05,3.2,1026,14.4,Poor
6.95,3.6,1033,13.0,Poor
6.47,3.2,1030,13.9,Poor
6.76,2.9,1032,12.6,Poor
7.36,3.0,1021,3.4,Poor
6.37,4.3,1026,3.9,Poor
6.62,3.3,1039,8.8,Good
7.13,4.0,1023,5.2,Poor
6.34,4.5,1027,8.2,Poor
6.12,5.3,1039,7.1,Poor
6.43,2.7,1038,9.1,Poor
6.24,5.7,1032,11.7,Poor
7.39,5.0,1033,11.3,Poor
7.21,2.8,1029,8.8,Poor
6.95,6.0,1030,12.7,Poor
7.31,6.2,1021,7.6,Poor
7.21,2.7,1028,13.7,Poor
6.28,3.6,1036,2.9,Poor
7.34,5.7,1022,14.4,Poor
6.81,5.5,1025,10.5,Poor
7.21,3.2,1024,6.9,Poor
7.34,3.3,1024,4.6,Poor
6.48,4.0,1034,8.2,Poor
6.17,4.4,1036,4.5,Poor
6.34,5.0,1028,4.2,Poor
6.64,4.0,1022,10.0,Poor
7.23,4.4,1039,8.8,Good
7.29,5.5,1036,10.7,Poor
6.01,2.6,1029,14.1,Poor
6.77,3.5,1022,8.9,Poor
6.63,5.4,1037,9.6,Good
6.33,6.1,1037,3.2,Poor
6.18,4.5,1036,11.3,Poor
6.51,4.6,1022,7.2,Poor
7.41,2.9,1022,14.7,Poor
6.48,4.3,1025,12.7,Poor
6.78,4.6,1032,8.8,Good
7.05,3.5,1034,3.6,Good
6.55,3.6,1028,13.2,Poor
7.46,4.0,1023,12.4,Poor
7.44,2.6,1033,4.4,Poor
6.38,3.8,1024,5.8,Poor
6.75,3.3,1021,12.3,Poor
6.45,3.8,1030,4.4,Poor
6.43,3.0,1028,13.9,Poor
6.06,6.1,1022,7.5,Poor
6.91,4.9,1028,3.1,Good
6.75,5.2,1022,12.6,Poor
6.08,5.7,1021,6.9,Poor
6.42,4.5,1031,8.8,Poor
7.36,2.8,1029,3.5,Poor
6.36,4.6,1028,2.0,Poor
6.22,4.8,1034,10.3,Poor
6.73,5.5,1027,8.7,Good
7.48,4.2,1024,9.7,Poor
6.36,3.0,1030,12.3,Poor
7.01,3.6,1021,10.4,Poor
7.14,4.0,1034,4.3,Good
6.36,5.1,1025,6.7,Poor
7.09,4.8,1027,13.8,Poor
6.55,3.9,1024,12.0,Poor
6.95,6.4,1035,9.2,Good
6.95,4.9,1037,5.3,Good
6.8,3.4,1025,5.9,Good
6.14,2.9,1024,11.5,Poor
7.25,3.1,1035,13.1,Poor
6.48,3.5,1032,10.7,Poor
6.28,3.1,1024,12.5,Poor
6.06,3.2,1032,12.0,Poor
6.89,3.6,1036,3.9,Good
7.02,3.2,1037,7.5,Good
6.02,6.1,1027,4.0,Poor
6.77,2.8,1032,5.1,Poor
6.34,4.6,1038,13.3,Poor
6.97,4.1,1022,8.1,Poor
6.26,6.4,1027,9.0,Poor
7.04,2.9,1021,4.3,Poor
6.58,4.1,1027,6.1,Good
7.41,6.4,1032,5.0,Good
6.21,6.0,1032,4.7,Poor
6.51,5.8,1020,10.3,Poor
6.17,3.5,1025,5.3,Poor
7.39,3.2,1038,10.2,Poor
7.32,5.2,1035,2.8,Good
6.39,6.2,1027,3.8,Poor
6.99,4.7,1020,5.6,Poor
7.23,4.8,1035,9.8,Good
6.83,3.6,1028,10.8,Poor
6.79,5.6,1032,7.8,Good
6.36,3.2,1030,7.8,Poor
6.14,3.8,1032,11.4,Poor
7.35,4.2,1029,2.2,Good
7.35,4.5,1023,6.4,Poor
6.95,3.5,1025,12.6,Poor
6.51,3.0,1026,9.8,Good
6.52,4.9,1024,6.4,Poor
7.09,3.7,1030,13.8,Poor
7.35,4.8,1032,12.0,Poor
7.33,3.1,1038,5.4,Good
7.17,4.4,1029,10.4,Poor
6.96,4.6,1029,9.7,Good
6.13,2.7,1030,7.2,Poor
6.24,3.8,1026,6.8,Poor
7.35,3.0,1037,6.5,Good
6.91,2.8,1023,10.0,Poor
6.01,6.5,1021,7.8,Poor
6.15,3.8,1033,12.8,Poor
7.0,5.7,1032,10.7,Poor
6.01,3.5,1031,2.9,Poor
6.24,5.2,1026,10.3,Poor
6.82,5.5,1021,5.5,Poor
7.04,4.9,1032,9.7,Good
6.98,4.4,1033,10.8,Poor
6.34,4.1,1036,5.0,Poor
7.07,3.9,1028,7.9,Good
6.36,6.2,1036,4.5,Poor
6.49,5.8,1027,2.7,Poor
7.12,6.4,1021,6.9,Poor
6.97,3.0,1032,6.7,Good
7.27,5.4,1022,14.9,Poor
6.99,6.3,1035,7.8,Good
6.85,3.2,1025,6.3,Good
6.14,2.8,1038,9.5,Poor
6.55,5.5,1026,3.2,Good
6.4,4.8,1029,14.5,Poor
6.37,5.9,1028,10.3,Poor
7.46,3.1,1021,11.8,Poor
6.59,5.7,1034,4.2,Good
7.34,3.3,1024,7.3,Poor
6.95,3.2,1023,7.5,Poor
7.19,3.2,1039,12.7,Poor
6.75,5.8,1023,2.0,Poor
6.87,5.2,1037,5.9,Good
6.74,4.6,1023,14.8,Poor
6.29,3.9,1036,8.2,Poor
7.08,6.0,1031,7.0,Good
6.42,4.1,1036,3.6,Poor
6.04,5.8,1029,14.7,Poor
6.97,4.3,1020,2.3,Poor
6.27,4.0,1037,11.6,Poor
7.41,4.4,1037,12.0,Poor
7.43,3.7,1033,5.2,Good
7.37,5.5,1034,10.7,Poor
6.56,4.5,1031,3.2,Good
6.02,3.4,1023,5.3,Poor
7.39,6.1,1022,12.2,Poor
6.64,4.0,1039,13.2,Poor
7.45,4.7,1031,9.9,Good
7.45,6.1,1026,8.6,Good
7.28,5.0,1030,4.1,Good
6.44,3.0,1020,2.8,Poor
6.58,6.3,1025,3.5,Good
7.28,5.0,1034,5.0,Good
6.48,3.8,1034,6.4,Poor
6.25,3.1,1038,7.0,Poor
6.84,5.7,1030,6.5,Good
7.4,5.0,1021,5.1,Poor
7.04,4.6,1033,8.6,Good
6.86,6.1,1021,12.7,Poor
6.15,5.7,1023,5.6,Poor
6.92,3.1,1036,14.3,Poor
7.49,3.7,1022,13.4,Poor
6.21,3.5,1032,4.1,Poor
6.78,5.5,1028,12.2,Poor
7.32,2.6,1026,9.5,Poor
7.11,4.8,1034,9.4,Good
7.05,5.5,1030,7.1,Good
7.05,6.0,1039,8.5,Good
6.54,3.9,1021,7.2,Poor
6.44,5.8,1034,9.0,Poor
7.21,2.9,1033,10.2,Poor
7.22,5.9,1039,10.8,Poor
7.3,3.0,1030,8.9,Good
7.37,4.1,1022,11.4,Poor
6.77,5.7,1036,3.8,Good
6.75,3.1,1031,4.8,Good
7.2,3.4,1034,12.6,Poor
6.97,5.4,1035,6.2,Good
7.05,5.4,1024,2.3,Poor
7.19,5.1,1039,4.0,Good
7.34,5.3,1025,4.9,Good
6.51,4.7,1038,14.4,Poor
6.56,3.5,1024,9.4,Poor
6.14,3.9,1022,14.1,Poor
6.87,3.2,1020,9.5,Poor
6.05,6.1,1025,8.2,Poor
6.7,4.8,1034,6.1,Good
6.81,4.1,1021,9.9,Poor
6.43,4.3,1022,3.8,Poor
6.89,6.3,1036,13.7,Poor
6.05,3.1,1031,12.8,Poor
6.06,4.8,1037,6.1,Poor
7.23,4.5,1034,14.4,Poor
6.54,4.9,1031,12.7,Poor
6.19,2.6,1035,10.7,Poor
6.78,6.0,1027,3.6,Good
7.15,6.2,1033,8.2,Good
6.32,4.8,1036,8.6,Poor
6.93,5.3,1027,5.0,Good
6.13,6.2,1034,3.0,Poor
6.08,5.3,1033,12.1,Poor
6.8,3.1,1037,3.6,Good
6.81,4.8,1039,9.7,Good
6.96,4.9,1026,14.2,Poor
7.09,4.2,1022,13.4,Poor
7.46,5.4,1031,5.6,Good
6.77,6.2,1022,13.1,Poor
6.48,6.2,1039,2.0,Poor
7.19,4.3,1033,2.2,Good
6.41,3.0,1034,9.8,Poor
6.66,6.4,1033,6.7,Good
6.12,5.9,1026,7.0,Poor
6.04,3.0,1036,9.3,Poor
7.44,6.2,1031,4.5,Good
7.25,6.0,1039,4.8,Good
7.04,4.6,1023,8.3,Poor
6.61,4.9,1028,11.8,Poor
6.26,4.1,1025,10.1,Poor
6.23,2.7,1035,5.9,Poor
6.38,3.8,1021,7.6,Poor
6.82,5.7,1027,4.2,Good
7.07,2.5,1030,3.0,Poor
6.99,3.8,1032,12.2,Poor
6.42,4.1,1036,5.5,Poor
7.43,4.6,1027,4.3,Good
7.11,6.2,1037,11.0,Poor
6.83,3.9,1037,10.0,Good
6.92,3.9,1033,10.2,Poor
6.63,5.5,1034,5.0,Good
6.37,4.3,1025,5.0,Poor
6.53,3.4,1030,4.9,Good
7.14,4.3,1032,4.3,Good
6.02,3.1,1020,10.5,Poor
6.17,3.2,1025,13.0,Poor
6.07,4.5,1028,11.4,Poor
6.06,4.2,1027,12.3,Poor
7.28,6.2,1030,7.3,Good
7.06,3.9,1038,10.5,Poor
6.71,4.8,1028,6.6,Good
6.15,5.0,1036,8.8,Poor
6.74,2.6,1031,8.3,Poor
6.71,5.2,1033,4.3,Good
6.26,3.2,1034,7.0,Poor
6.65,6.3,1035,14.5,Poor
6.6,3.1,1039,5.2,Good
6.92,4.2,1020,3.7,Poor
6.95,2.8,1029,7.4,Poor
6.07,6.5,1027,12.3,Poor
6.56,4.5,1037,9.6,Good
6.94,4.9,1020,10.9,Poor
6.75,2.8,1021,4.5,Poor
7.28,5.5,1020,10.0,Poor
6.99,3.3,1020,6.2,Poor
6.24,6.1,1028,12.8,Poor
6.11,3.3,1032,10.2,Poor
6.96,3.3,1020,4.6,Poor
6.04,2.6,1032,2.8,Poor
6.88,4.4,1039,2.6,Good
7.41,4.8,1026,6.8,Good
6.86,2.8,1021,5.5,Poor
6.58,5.6,1025,10.4,Poor
6.96,4.3,1026,8.5,Good
6.69,4.6,1033,5.5,Good
6.82,4.3,1037,3.9,Good
7.41,4.1,1034,3.7,Good
6.58,4.7,1021,13.2,Poor
7.44,3.1,1029,5.2,Good
7.36,3.2,1031,10.5,Poor
6.29,5.9,1036,12.5,Poor
6.1,6.3,1027,10.0,Poor
6.15,4.0,1030,13.2,Poor
6.03,3.6,1022,7.1,Poor
6.14,5.1,1025,14.4,Poor
7.02,4.1,1028,3.7,Good
6.11,2.6,1025,3.3,Poor
6.48,3.1,1028,10.6,Poor
7.27,5.4,1026,14.3,Poor
6.03,5.1,1028,12.5,Poor
7.22,2.6,1037,3.0,Poor
6.42,3.4,1031,5.6,Poor
6.18,3.4,1027,14.1,Poor
7.05,5.2,1027,5.3,Good
6.94,2.6,1037,12.2,Poor
7.32,2.9,1039,12.7,Poor
7.1,5.7,1034,8.4,Good
7.21,3.2,1026,7.0,Good
6.42,5.1,1030,7.9,Poor
6.27,3.5,1039,5.0,Poor
7.13,2.9,1035,13.6,Poor
7.21,3.5,1023,7.9,Poor
7.49,5.4,1025,13.5,Poor
6.62,5.9,1022,3.4,Poor
6.56,5.8,1028,14.8,Poor
7.16,4.1,1029,7.8,Good
6.51,5.2,1033,2.6,Good
7.4,3.3,1030,2.5,Good
7.29,3.7,1037,11.7,Poor
6.64,6.1,1031,10.6,Poor
7.13,2.6,1031,12.4,Poor
7.13,2.8,1032,3.4,Poor
6.15,3.3,1032,2.5,Poor
7.35,2.6,1038,8.6,Poor
6.76,3.2,1038,7.0,Good
7.24,4.8,1033,8.0,Good
6.48,4.2,1023,14.9,Poor
7.34,6.1,1032,14.6,Poor
6.58,5.8,1027,14.3,Poor
6.02,3.9,1038,12.2,Poor
7.36,3.5,1031,6.6,Good
6.14,4.0,1037,7.4,Poor
6.48,4.9,1025,9.1,Poor
7.43,3.6,1037,12.8,Poor
7.43,5.0,1038,2.9,Good
6.86,4.1,1024,7.5,Poor
6.95,4.7,1028,3.1,Good
6.67,4.2,1022,8.7,Poor
6.44,3.7,1029,13.7,Poor
6.49,6.3,1038,12.2,Poor
7.01,5.6,1022,5.0,Poor
7.13,3.1,1034,14.7,Poor
7.19,6.0,1020,10.7,Poor
7.18,4.4,1026,2.1,Good
6.14,6.1,1031,5.3,Poor
6.74,5.7,1036,5.4,Good
6.09,4.2,1039,2.9,Poor
6.82,2.6,1024,14.5,Poor
6.66,3.6,1023,8.2,Poor
7.33,4.7,1031,13.6,Poor
6.53,5.0,1039,6.2,Good
6.18,3.5,1037,3.6,Poor
6.21,3.1,1036,8.2,Poor
7.14,5.8,1038,3.5,Good
6.93,6.4,1028,8.3,Good
6.15,4.6,1023,14.0,Poor
6.13,3.2,1021,8.8,Poor
7.05,3.6,1023,10.0,Poor
6.11,2.6,1021,4.0,Poor
7.23,6.2,1034,2.6,Good
7.06,3.0,1021,3.4,Poor
6.12,4.8,1023,9.8,Poor
6.13,3.6,1025,3.2,Poor
7.48,4.7,1026,6.9,Good
6.56,5.1,1029,9.2,Good
6.56,5.8,1038,7.1,Good
7.22,3.3,1038,4.1,Good
7.42,2.5,1031,5.6,Poor
7.48,3.0,1022,14.1,Poor
7.13,6.1,1032,10.8,Poor
6.56,6.0,1037,8.4,Good
6.13,4.9,1027,2.2,Poor
7.17,4.9,1034,14.9,Poor
6.84,5.2,1020,10.7,Poor
6.64,3.2,1022,6.1,Poor
7.36,6.2,1027,13.4,Poor
6.17,4.2,1023,5.4,Poor
6.74,4.0,1035,9.1,Good
6.02,4.6,1029,10.3,Poor
6.7,2.7,1031,4.9,Poor
6.08,3.2,1033,14.7,Poor
6.18,5.5,1033,11.7,Poor
6.18,2.8,1021,9.3,Poor
6.97,4.9,1024,4.3,Poor
7.12,3.5,1024,2.7,Poor
6.88,4.1,1025,6.2,Good
7.44,3.7,1032,11.8,Poor
6.56,3.9,1028,5.5,Good
6.43,5.4,1034,9.0,Poor
7.3,3.7,1033,11.5,Poor
6.34,4.8,1026,3.4,Poor
7.44,4.4,1039,10.9,Poor
6.02,5.2,1021,3.2,Poor
7.45,6.2,1026,14.5,Poor
6.06,5.4,1025,8.3,Poor
7.34,3.4,1036,4.0,Good
6.79,2.6,1021,6.5,Poor
7.49,3.5,1022,7.4,Poor
6.11,4.9,1024,11.9,Poor
6.83,2.7,1024,11.7,Poor
7.45,4.5,1020,10.0,Poor
6.78,4.9,1027,3.4,Good
6.94,3.8,1031,4.0,Good
7.04,5.6,1023,3.2,Poor
6.68,2.9,1032,9.5,Poor
6.94,2.8,1034,13.4,Poor
6.88,5.4,1030,7.6,Good
7.35,4.5,1029,4.1,Good
6.07,5.3,1022,9.3,Poor
6.42,4.2,1033,12.6,Poor
7.43,3.5,1035,11.6,Poor
7.34,5.8,1029,13.5,Poor
6.68,5.7,1029,5.6,Good
6.93,5.3,1031,4.5,Good
6.42,3.6,1028,13.4,Poor
6.28,4.9,1020,10.5,Poor
6.7,3.9,1024,6.0,Poor
6.53,2.9,1039,11.7,Poor
6.88,6.2,1027,12.6,Poor
6.12,3.0,1030,10.0,Poor
7.46,6.3,1031,10.9,Poor
7.48,4.3,1020,6.9,Poor
